Valoren,DurationToMaturity
21688851,11.6386
21982599,12.1134
21982601,6.8051
21989919,3.7715
22057564,7.5515
22057578,11.1486
22307500,8.8354
22340876,8.8386
22447834,9.0145
3314750,12.8857
3356330,0.7472
3830892,0.3444
22743077,8.9222
22825799,11.244
22922217,10.0213
23122151,10.1226
23149572,0
23321011,2.1055
23500214,12.411
12742765,8.318
13933186,6.0415
12143727,4.5505
2060244,0
11263894,1.9349
12696334,9.4898
13980962,2.7914
13980957,8.8476
13980956,5.3476
13597233,8.053
12791691,6.3919
12742763,11.0018
12742760,5.5672
12299774,6.156
12143739,8.6875
11263901,5.3077
20035252,0.0444
20364873,12.229
20534542,15.3734
20591876,12.1975
20899033,5.9735
20947128,6.5913
21007339,9.4129
21256909,8.6819
21851399,9.9932
22152192,10.1424
22234667,5.3117
22234672,9.461
22394303,9.4935
22686624,7.7596
22686631,10.8447
22743045,12.1626
22898928,11.1328
23321010,2.1331
23576887,12.3363
23909244,6.5278
23909246,16.2799
23969843,10.3964
24010493,12.4739
24076588,9.9101
24138052,10.5034
24202500,11.1349
24357757,12.9493
24420513,12.9931
24451960,0.75
24451968,0.5111
24451972,7.0825
24472462,12.961
24633116,11.5608
24678651,13.0278
24739835,12.092
24806304,11.6492
25008679,13.2824
25069936,13.2524
25546512,4.6266
25858316,3.7697
26297061,3.8977
26358195,0
26605251,3.0358
26605253,3.0788
26605255,0.4944
26969851,4.0734
27055870,6.0583
27055875,8.5059
27389987,5.0362
30688901,24.2512
2790074,0.0528
2795925,2.0937
24513758,13.0773
24561193,13.7772
25428045,4.5543
25501834,4.544
26605411,4.8478
18667525,11.4771
18667574,5.087
18749287,11.5791
18749708,5.0951
18778832,11.6831
18824143,5.1066
18824145,11.5264
10321872,1.5823
10344664,1.5821
10389093,0.6806
10409768,3.3844
10433413,0.7611
10456046,3.4012
10478865,0.7611
10479104,4.2168
10497732,0.8444
10497857,3.4807
10519440,0.8444
10519557,3.4925
10543191,3.487
10596869,3.5821
10644218,3.5905
10680559,3.5861
10695211,2.3827
10695219,4.8715
10715401,4.1018
10734923,4.9
10759298,4.1075
10775907,4.4915
10816432,1.9695
10834973,1.9715
10885917,0.1778
10890395,4.5509
10912591,4.5513
10967109,4.6255
10997978,4.6246
10996008,1.2134
11019063,4.6198
11048120,1.2134
11048131,5.3516
11072803,4.6935
11093172,5.4576
11117768,5.4616
11144901,2.2207
11166962,5.5741
11190063,2.3063
11201184,4.7999
11243407,4.8353
11284006,0.5111
11284007,5.3075
11339739,6.0405
11363504,4.8786
11394853,5.6254
11418050,4.8998
11438382,5.6376
11465772,5.7261
11492799,0.6806
11492802,6.4691
11554356,1.6071
11575533,1.691
11629603,2.6082
11651931,5.137
11679853,5.2315
11710701,3.1398
11710723,5.2274
11741921,5.2281
11756767,6.7414
11787497,0.8444
11787734,7.4101
11820764,6.8519
11847135,7.5682
11851996,0.9278
11914579,4.5074
11948739,7.9523
11977285,1.4736
11977413,7.9423
12008038,7.9541
12039076,6.4962
12403932,8.2228
12438186,4.7187
12484210,3.8307
12547968,6.8942
12572419,10.9218
12660320,9.5192
12791696,12.0179
12867664,12.7024
13015141,10.5196
13055689,12.2848
13091236,12.0228
13169605,10.6555
13169680,12.6954
13253368,11.9158
13284891,11.9495
13334671,11.8505
13373136,11.9443
13457530,7.9941
13702805,8.1217
13756195,8.1071
1444096,0
1673681,0
1673748,0
1856830,0
2043877,0
2046349,0
2044993,0
2056870,0
2056911,0
11145138,5.4615
11316062,1.9333
11316064,5.2704
12180463,7.4207
12299769,9.3653
12471562,9.3999
13209446,12.6415
13648152,8.0816
13817118,8.1647
13875320,8.7612
13933190,8.8104
2058116,0
2058132,0
2058185,0
2058193,0
2110293,0
2187676,0.2611
2230341,0
2239512,0
2759631,0.1333
2973933,0.3583
3807482,0.2611
4517841,0
18778792,5.1164
18879512,4.267
18879528,6.6909
18879694,11.6537
18924998,5.2061
18925006,8.9409
18925010,11.6273
19119409,1.7238
19130488,7.7108
19130579,12.0973
19183784,7.6831
19183790,12.1136
19238213,7.7315
19238224,12.0118
19289265,6.9392
19289272,11.4554
19329024,6.1148
19329045,11.3895
19433489,5.3352
19506316,7.0147
19506329,12.1305
19608410,6.2189
19609425,10.3691
19670086,11.0663
19670101,7.0586
19722209,16.1769
19722577,5.4802
19736395,0
19895093,12.0356
19895303,8.3604
19998660,12.0902
19998680,9.0836
20043841,0.9993
20044723,12.7082
20075986,2.223
20129223,12.2308
20129573,8.6809
20197834,2.9632
20250009,12.1549
20308022,12.0998
19381736,7.7624
19381743,12.2106
20045137,9.7832
20185569,12.1555
1948073,0
1948073,0
1144124,8.0298
1144124,8.0298
12126478,1.9005
18499530,0
18531596,12.8288
18531603,2.4557
18531631,7.1098
18575354,3.3448
18575471,6.4454
18575507,9.9759
18581941,3.015
18621362,0.5111
12490085,0
13870835,7.93
13817005,13.8822
12438219,6.2077
12438107,2.2253
12659699,13.73
12659571,0.3444
12614417,11.6188
12614348,1.3776
12571903,1.3772
14305342,0
14298829,10.6191
21372777,4.7595
21372793,10.0288
21399975,12.1432
21399977,6.7884
21399983,2.5179
21435615,4.8225
21445697,4.8071
21445774,5.1816
21445782,8.8745
21445784,15.54
14298816,6.0652
21471716,11.6415
27058699,0
31497189,13.4594
31497196,4.0636
31497199,0
31517551,7.91
31645026,6.5914
31645027,13.3042
20945076,0
22167003,0
22561425,0
24523406,0
27831876,0
30892263,0
30904515,0
30904624,0
30912184,0
30912209,0
30912709,0
30912715,0
30912735,0
30928853,0
13437273,4.1954
14247866,10.6908
10695205,1.4633
10800934,2.8653
10736168,1.465
10389084,2.4766
14247861,6.762
14247831,1.0596
12390098,13.8148
11370757,3.224
11089129,3.0823
1796435,2.0852
10756882,3.2783
10715680,3.2719
10683467,2.7454
10801615,0.0944
10816320,0.0944
10850929,0
10997844,0.2611
11263898,3.664
23902622,7.985
23902623,13.3188
23918013,0
23970360,14.0743
24076589,12.349
24354819,5.117
24354823,12.4696
24398317,6.6922
24398330,11.6219
24472466,8.1052
24472474,13.3409
24532937,10.0353
24571110,6.002
24633131,8.8322
24633161,14.7765
24771783,14.0028
24784759,5.2887
25008708,5.2931
25008711,14.6831
25501760,14.8446
25501818,2.7784
25837128,2.8442
25933076,7.1285
25933109,15.4761
10410185,0.7611
10459311,1.6772
10543040,2.6602
10837412,1.0496
11117858,1.2968
11310939,2.8125
11363554,4.9222
11417988,1.6013
11645644,5.0291
11710921,7.3223
11741955,3.6055
11922102,6.733
11958712,5.2961
11972511,1.0616
12008353,3.7844
12008376,9.3174
12071416,0.0944
12071831,0
12103275,0.0944
12103288,7.4889
12403215,2.6758
12412473,0
12471580,6.8838
12514823,0.2611
12696336,5.562
12930179,5.74
12970887,9.5421
12970323,4.9536
13053550,8.9524
13106712,5.7114
13169320,10.8974
13169444,13.7675
13197575,11.2467
13430498,13.8663
13504868,3.5537
11394338,0.5944
13504872,13.7754
13586727,0.7611
14444573,0.0944
14444637,5.9524
2883173,0
30928855,0
30928885,0
30928890,0
24614345,0
30839191,0
30857458,8.6979
30904625,13.3612
30904627,11.2668
29047576,0
30928894,0
30939989,0
30939994,0
30939999,0
30940000,0
30940008,0
30940010,0
30940024,0
30948340,0
30948350,0
30992987,0
30993074,0
31057395,0
31057398,0
31118542,0
31141667,0
31141668,0
31141690,0
31141694,0
31141698,0
31141699,0
31141700,0
31141702,0
31141708,0
31254168,0
31254211,0
31254214,0
31254216,0
31292443,0
31311885,0
31311887,0
31361609,0
31361953,0
31361954,0
31361965,0
31383344,0
31383347,0
31419810,0
31452511,0
31452514,0
10194440,2.7855
10248201,2.3691
11093202,2.2164
11394771,4.9149
11417992,4.1641
11444436,0.5944
11444724,2.4942
11603562,2.6688
11629699,2.6686
11656122,4.3614
11680911,3.6123
11710918,3.6071
11756773,3.6096
11958714,0
11959205,5.0732
11972513,2.4346
11972514,5.3706
12008379,11.5631
12039097,4.5772
12039160,7.4597
12071420,7.498
12071423,11.1374
12117073,5.0794
12143755,6.1058
12143769,13.0209
12144182,1.1395
12173689,1.1384
12173692,5.3765
12173693,13.9459
12214065,5.8558
12232697,0
12403445,0.2611
12403852,11.9619
12471578,3.1007
12514753,7.5328
12574230,0
12696335,2.3027
12783554,0
12861989,4.59
12929103,0
13015134,4.17
13015135,7.1044
13053445,4.9425
13090908,10.8594
13138190,9.5634
13138196,12.2215
13430479,6.5408
13456903,0
13457624,2.6754
13504870,8.5495
13586399,3.5412
13649439,7.2654
13648197,3.5407
13703270,0.8444
13703518,7.3533
13736024,0
14192253,7.3797
14192343,1.0586
14209636,0
14339354,3.7216
14339510,10.5385
14433883,0
14484924,0
14514356,2.0692
14514358,9.1216
14547560,3.7931
14547567,10.1231
14636257,0
14816505,4.5435
14849047,2.138
18007144,7.6067
18007164,10.7569
18059291,0.3444
18059312,5.5604
18059316,10.71
18083733,0
18098777,1.3774
18100364,4.8202
18100389,10.6695
18112306,0
18139341,13.3146
18178460,7.5724
18217724,0
18219380,1.2951
3362641,0.8056
2862434,0.1778
3908494,1.3322
29819111,16.6915
29879959,0
30154502,16.4272
30154507,7.5298
30165870,11.4963
30165895,0
30177057,16.6825
30177064,7.8228
29819037,7.0631
30257252,0
2893775,19.6482
2801057,0
18006981,0.2611
32015302,5.9536
14963966,8.8384
32029546,7.497
32029548,13.314
32055524,0
14963958,5.5691
14963874,0.2611
32094134,8.9498
14903781,6.192
25444328,13.8174
26005813,14.6206
24124132,7.328
24306196,12.9181
24306204,4.2919
24523216,5.1509
24523226,14.7468
24571113,14.335
24571053,1.2366
24678653,5.2242
24678656,15.3907
24739800,6.0131
24739807,15.1186
24784763,12.5872
24806314,0
25444327,5.4342
26005920,5.5773
26075065,9.2422
26075071,16.1637
26138644,6.3623
26138651,15.887
26210597,7.5498
26210603,16.1045
26376447,7.9572
26376453,15.1106
26407025,1.7314
26452434,11.3613
26452436,15.8906
26529666,9.3959
26529668,16.2876
26807296,3.3054
26848463,10.1049
26848468,16.7279
26969852,8.1493
26969853,14.8538
27036165,6.6996
27036166,12.6919
27128570,13.5817
27270017,0
27307976,10.8417
27307981,17.1554
27448072,16.1562
27504385,0
27526572,8.9188
27448073,9.53
27592081,16.2646
27592082,11.2427
27619990,5.8813
27547962,13.5866
27717232,10.7522
27717249,8.27
27717253,15.0316
12092959,0
4431430,0
20555302,0
23970226,8.61
24106570,27.3778
24106621,27.3778
24766293,13.7528
24825604,15.8108
24825607,6.6344
25069976,6.1429
25546523,6.2806
25546548,13.3282
25858403,12.626
25858394,6.3098
25932433,12.9549
26297076,15.4885
26297089,6.4688
26807302,7.1208
26937868,12.9533
27128562,6.6478
27717268,8.2996
27777036,3.967
23918002,0
23982609,7.9012
23982613,7.1824
24106332,0
24106337,0
24218387,7.4586
24259880,0
24306141,0
24346639,14.0028
3248591,0
24391725,5.6784
24495352,14.0028
24650131,14.0028
25069922,14.0028
25444520,8.2617
25569372,8.3056
25591912,7.7188
25637729,9.0107
25717919,7.7302
25883774,7.3572
26090116,8.7403
26138475,7.6802
26807300,3.8556
26937845,10.7189
26937851,0
26937854,8.7718
27128431,7.3203
27128433,10.6852
27242207,8.2604
27270021,14.0028
27270032,10.8125
27989371,8.267
10215429,0
18644308,0
18644309,0
19535917,0
19535918,0
19535921,0
19535923,0
19535937,0
19944297,0
20115978,0
21372430,0
21511078,0
21904482,0
21960836,0
22262589,0
22316483,0
23068553,0
23994106,0
24023512,0
24075900,0
24075905,0
24075909,0
24087209,0
24106356,0
24106359,0
24106363,0
24106368,0
24106369,0
24106375,0
24114858,0
14903773,3.1082
14383330,11.4667
14383466,2.9269
14880614,0
1557344,10.9338
2524958,12.0512
2777685,7.8352
2989451,1.7382
3439337,12.3353
3648019,0
3694022,1.1307
30257247,13.6155
32357648,4.7646
32425659,8.3351
32425660,12.0227
32440408,0
32440416,11.4365
32500627,8.3408
32582383,8.3437
32582430,8.5132
32582431,14.216
32582432,4.3219
32656863,6.8526
32656991,0
32699622,13.6941
32715568,11.7023
32715582,9.7043
32715590,0
32715594,4.3212
32729008,7.6359
32778139,0
32815878,8.4043
32925442,11.7558
32925443,8.597
32925513,2.5486
32942773,7.7183
10216032,0
19535910,0
20945051,0
22316493,0
22316496,0
22316501,0
22316514,0
22316515,0
24523447,0
24524012,0
29170349,0
29816210,0
24682007,0
4291675,0
29047564,0
29047592,0
31947475,0
32020500,6.6269
32070599,0
32071443,0
29047579,0
32179653,0
32179656,0
32179659,0
32302438,5.8943
32357644,2.3927
32357645,4.2159
32357647,2.9296
32430113,4.2786
32430127,14.2384
32533448,8.9922
32618542,29.5194
32618543,29.5194
32722633,29.5222
32911280,6.14
32912167,4.3661
29863095,0
29863191,0
29863197,0
29863198,0
29879928,0
29879931,0
29879932,0
29879933,0
29879942,0
29879954,0
29895035,0
29895038,0
29895039,0
29895048,0
29895172,0
