Valoren,Morningstar Credit Rating,Rating
14031589,NA,0
14031694,NA,0
14217053,NA,0
14217087,NA,0
14297829,NA,0
14297833,NA,0
14339513,NA,0
14339536,NA,0
1673715,NA,0
2045213,NA,0
2047603,NA,0
2047722,NA,0
2058899,NA,0
2110230,NA,0
2110299,NA,0
10136809,NA,0
10170811,NA,0
10193803,NA,0
10210491,NA,0
10234518,NA,0
10248191,NA,0
10299320,NA,0
10543055,NA,0
10572541,NA,0
10623247,NA,0
10715396,NA,0
10801624,NA,0
10912578,NA,0
10967062,NA,0
11019051,NA,0
11166958,NA,0
11339683,NA,0
11914972,NA,0
12071911,NA,0
13091233,NA,0
13284202,NA,0
13333676,NA,0
14493285,NA,0
14493303,NA,0
14547448,NA,0
14547523,NA,0
14594832,NA,0
14594983,NA,0
14676107,NA,0
10156248,NA,0
14676549,NA,0
14678239,NA,0
14849017,NA,0
14849178,NA,0
14893352,NA,0
14903341,NA,0
14903352,NA,0
14903359,NA,0
14964115,NA,0
14964122,NA,0
14964188,NA,0
18006846,NA,0
18006893,NA,0
18006932,NA,0
18059279,NA,0
18059281,NA,0
18059282,NA,0
18306582,NA,0
18306925,NA,0
18307031,NA,0
18382966,NA,0
18383610,NA,0
18477190,NA,0
1964987,NA,0
2250674,NA,0
2929048,NA,0
685456,NA,0
18575530,NA,0
18576772,NA,0
18621159,NA,0
18621349,NA,0
18621368,NA,0
3087971,NA,0
2108291,NA,0
2814536,NA,0
2108288,NA,0
2369421,NA,0
3182741,NA,0
3009510,NA,0
2976642,NA,0
2848266,NA,0
2664000,NA,0
3574585,NA,0
3869161,NA,0
3112395,NA,0
3099646,NA,0
2791449,NA,0
2380082,NA,0
20384170,NA,0
20423418,NA,0
20423628,NA,0
3543691,NA,0
2551219,NA,0
20657482,NA,0
20657486,NA,0
20678880,NA,0
1183259,NA,0
2108277,NA,0
2106683,NA,0
2319719,NA,0
2387497,NA,0
2399820,NA,0
2654538,NA,0
2922075,NA,0
2924320,NA,0
2993322,NA,0
3360222,NA,0
3424651,NA,0
3598084,NA,0
3679325,NA,0
3770207,NA,0
3924919,NA,0
3968873,NA,0
4223622,NA,0
685459,NA,0
20711151,NA,0
20711159,NA,0
20883651,NA,0
21034583,NA,0
21034586,NA,0
21057366,NA,0
21057371,NA,0
21076499,NA,0
21136201,NA,0
21325044,NA,0
21383666,NA,0
21497158,NA,0
21542706,NA,0
21688851,NA,0
21982599,NA,0
21982601,NA,0
21989919,NA,0
22057564,NA,0
22057578,NA,0
22307500,NA,0
22340876,NA,0
22447834,NA,0
3314750,NA,0
3356330,NA,0
3830892,NA,0
22743077,NA,0
22825799,NA,0
22922217,NA,0
23122151,NA,0
23149572,NA,0
23321011,NA,0
23500214,NA,0
12742765,NA,0
13933186,NA,0
12143727,NA,0
2060244,NA,0
11263894,NA,0
12696334,NA,0
13980962,NA,0
13980957,NA,0
13980956,NA,0
13597233,NA,0
12791691,NA,0
12742763,NA,0
12742760,NA,0
12299774,NA,0
12143739,NA,0
11263901,NA,0
20035252,NA,0
20364873,NA,0
20534542,NA,0
20591876,NA,0
20899033,NA,0
20947128,NA,0
21007339,NA,0
21256909,NA,0
21851399,NA,0
22152192,NA,0
22234667,NA,0
22234672,NA,0
22394303,NA,0
22686624,NA,0
22686631,NA,0
22743045,NA,0
22898928,NA,0
23321010,NA,0
23576887,NA,0
23909244,NA,0
23909246,NA,0
23969843,NA,0
24010493,NA,0
24076588,NA,0
24138052,NA,0
24202500,NA,0
24357757,NA,0
24420513,NA,0
24451960,NA,0
24451968,NA,0
24451972,NA,0
24472462,NA,0
24633116,NA,0
24678651,NA,0
24739835,NA,0
24806304,NA,0
25008679,NA,0
25069936,NA,0
25546512,NA,0
25858316,NA,0
26297061,NA,0
26358195,NA,0
26605251,NA,0
26605253,NA,0
26605255,NA,0
26969851,NA,0
27055870,NA,0
27055875,NA,0
27389987,NA,0
30688901,NA,0
2790074,NA,0
2795925,NA,0
24513758,NA,0
24561193,NA,0
25428045,NA,0
25501834,NA,0
26605411,NA,0
18667525,NA,0
18667574,NA,0
18749287,NA,0
18749708,NA,0
18778832,NA,0
18824143,NA,0
18824145,NA,0
10321872,NA,0
10344664,NA,0
10389093,NA,0
10409768,NA,0
10433413,NA,0
10456046,NA,0
10478865,NA,0
10479104,NA,0
10497732,NA,0
10497857,NA,0
10519440,NA,0
10519557,NA,0
10543191,NA,0
10596869,NA,0
10644218,NA,0
10680559,NA,0
10695211,NA,0
10695219,NA,0
10715401,NA,0
10734923,NA,0
10759298,NA,0
10775907,NA,0
10816432,NA,0
10834973,NA,0
10885917,NA,0
10890395,NA,0
10912591,NA,0
10967109,NA,0
10997978,NA,0
10996008,NA,0
11019063,NA,0
11048120,NA,0
11048131,NA,0
11072803,NA,0
11093172,NA,0
11117768,NA,0
11144901,NA,0
11166962,NA,0
11190063,NA,0
11201184,NA,0
11243407,NA,0
11284006,NA,0
11284007,NA,0
11339739,NA,0
11363504,NA,0
11394853,NA,0
11418050,NA,0
11438382,NA,0
11465772,NA,0
11492799,NA,0
11492802,NA,0
11554356,NA,0
11575533,NA,0
11629603,NA,0
11651931,NA,0
11679853,NA,0
11710701,NA,0
11710723,NA,0
11741921,NA,0
11756767,NA,0
11787497,NA,0
11787734,NA,0
11820764,NA,0
11847135,NA,0
11851996,NA,0
11914579,NA,0
11948739,NA,0
11977285,NA,0
11977413,NA,0
12008038,NA,0
12039076,NA,0
12403932,NA,0
12438186,NA,0
12484210,NA,0
12547968,NA,0
12572419,NA,0
12660320,NA,0
12791696,NA,0
12867664,NA,0
13015141,NA,0
13055689,NA,0
13091236,NA,0
13169605,NA,0
13169680,NA,0
13253368,NA,0
13284891,NA,0
13334671,NA,0
13373136,NA,0
13457530,NA,0
13702805,NA,0
13756195,NA,0
1444096,NA,0
1673681,NA,0
1673748,NA,0
1856830,NA,0
2043877,NA,0
2046349,NA,0
2044993,NA,0
2056870,NA,0
2056911,NA,0
11145138,NA,0
11316062,NA,0
11316064,NA,0
12180463,NA,0
12299769,NA,0
12471562,NA,0
13209446,NA,0
13648152,NA,0
13817118,NA,0
13875320,NA,0
13933190,NA,0
2058116,NA,0
2058132,NA,0
2058185,NA,0
2058193,NA,0
2110293,NA,0
2187676,NA,0
2230341,NA,0
2239512,NA,0
2759631,NA,0
2973933,NA,0
3807482,NA,0
4517841,NA,0
18778792,NA,0
18879512,NA,0
18879528,NA,0
18879694,NA,0
18924998,NA,0
18925006,NA,0
18925010,NA,0
19119409,NA,0
19130488,NA,0
19130579,NA,0
19183784,NA,0
19183790,NA,0
19238213,NA,0
19238224,NA,0
19289265,NA,0
19289272,NA,0
19329024,NA,0
19329045,NA,0
19433489,NA,0
19506316,NA,0
19506329,NA,0
19608410,NA,0
19609425,NA,0
19670086,NA,0
19670101,NA,0
19722209,NA,0
19722577,NA,0
19736395,NA,0
19895093,NA,0
19895303,NA,0
19998660,NA,0
19998680,NA,0
20043841,NA,0
20044723,NA,0
20075986,NA,0
20129223,NA,0
20129573,NA,0
20197834,NA,0
20250009,NA,0
20308022,NA,0
19381736,NA,0
19381743,NA,0
20045137,NA,0
20185569,NA,0
1948073,NA,0
1948073,NA,0
1144124,NA,0
1144124,NA,0
12126478,BBB+,10
18499530,BBB+,10
18531596,BBB+,10
18531603,BBB+,10
18531631,BBB+,10
18575354,BBB+,10
18575471,BBB+,10
18575507,BBB+,10
18581941,BBB+,10
18621362,BBB+,10
12490085,BBB+,10
13870835,BBB+,10
13817005,BBB+,10
12438219,BBB+,10
12438107,BBB+,10
12659699,BBB+,10
12659571,BBB+,10
12614417,BBB+,10
12614348,BBB+,10
12571903,BBB+,10
14305342,BBB+,10
14298829,BBB+,10
21372777,BBB+,10
21372793,BBB+,10
21399975,BBB+,10
21399977,BBB+,10
21399983,BBB+,10
21435615,BBB+,10
21445697,BBB+,10
21445774,BBB+,10
21445782,BBB+,10
21445784,BBB+,10
14298816,BBB+,10
21471716,BBB+,10
27058699,BBB+,10
31497189,BBB+,10
31497196,BBB+,10
31497199,BBB+,10
31517551,BBB+,10
31645026,BBB+,10
31645027,BBB+,10
20945076,BBB+,10
22167003,BBB+,10
22561425,BBB+,10
24523406,BBB+,10
27831876,BBB+,10
30892263,BBB+,10
30904515,BBB+,10
30904624,BBB+,10
30912184,BBB+,10
30912209,BBB+,10
30912709,BBB+,10
30912715,BBB+,10
30912735,BBB+,10
